#1
double data(8760,4)
#Time [s], Belpex electricity price [Euro/MWh], Dynamic consumer price [Euro/MWh], Dynamic injection price [Euro/MWh]
633600, 111.080016, 208.731416, 92.107416
637200, 121.110012, 218.962012, 101.936812
640800, 117.830016, 215.616416, 98.722416
644400, 110.589984, 208.231584, 91.627184
648000, 102.999996, 200.489796, 84.188996
651600, 95.460012, 192.799012, 76.799812
655200, 94.579992, 191.901392, 75.937392
658800, 100.000008, 197.429808, 81.249008
662400, 107.979984, 205.569384, 89.069384
666000, 116.809992, 214.575992, 97.722792
669600, 129.189996, 227.203596, 109.855196
673200, 129.989988, 228.019588, 110.639188
676800, 121.849992, 219.716792, 102.661992
680400, 114.159996, 211.872996, 95.125796
684000, 102.480012, 199.959412, 83.679412
687600, 99.749988, 197.174788, 81.003988
691200, 91.490004, 188.749604, 72.909204
694800, 84.510000, 181.630000, 66.068800
698400, 83.289996, 180.385596, 64.873196
702000, 84.999996, 182.129796, 66.548996
705600, 83.890008, 180.997608, 65.461208
709200, 82.450008, 179.528808, 64.050008
712800, 88.290000, 185.485600, 69.773200
716400, 99.830016, 197.256416, 81.082416
720000, 112.160016, 209.833016, 93.165816
723600, 130.500000, 228.539800, 111.139000
727200, 120.690000, 218.533600, 101.525200
730800, 109.080000, 206.691400, 90.147400
734400, 102.099996, 199.571796, 83.306996
738000, 92.220012, 189.494212, 73.624612
741600, 92.109996, 189.381996, 73.516796
745200, 101.189988, 198.643588, 82.415188
748800, 112.349988, 210.026788, 93.351988
752400, 122.379984, 220.257384, 103.181384
756000, 137.099988, 235.271788, 117.606988
759600, 136.699992, 234.863792, 117.214992
763200, 129.740004, 227.764604, 110.394204
766800, 116.340012, 214.096612, 97.262212
770400, 105.570000, 203.111200, 86.707600
774000, 98.399988, 195.797788, 79.680988
777600, 93.690000, 190.993600, 75.065200
781200, 83.000016, 180.089816, 64.589016
784800, 86.760000, 183.925000, 68.273800
788400, 86.730012, 183.894412, 68.244412
792000, 84.060000, 181.171000, 65.627800
795600, 84.179988, 181.293388, 65.745388
799200, 84.639996, 181.762596, 66.196196
802800, 99.029988, 196.440388, 80.298388
806400, 115.350012, 213.086812, 96.292012
810000, 138.089988, 236.281588, 118.577188
813600, 130.389984, 228.427584, 111.031184
817200, 116.309988, 214.065988, 97.232788
820800, 109.130004, 206.742404, 90.196404
